Link,Title,Rating,Votes,Description,Director
https://www.imdb.com/title/tt9686708/?ref_=adv_li_tt,The King of Staten Island,7.1,"48,923",Scott has been a case of arrested development since his firefighter dad died. He spends his days smoking weed and dreaming of being a tattoo artist until events force him to grapple with his grief and take his first steps forward in life.,Judd Apatow
https://www.imdb.com/title/tt10279362/?ref_=adv_li_tt,French Exit,6.0,"3,331",An aging Manhattan socialite living on what's barely left of her inheritance moves to a small apartment in Paris with her son and cat.,Azazel Jacobs
https://www.imdb.com/title/tt9179096/?ref_=adv_li_tt,Minamata,8.0,"10,186",War photographer W. Eugene Smith travels back to Japan where he documents the devastating effect of mercury poisoning in coastal communities.,Andrew Levitas
https://www.imdb.com/title/tt8580274/?ref_=adv_li_tt,Eurovision Song Contest: The Story of Fire Saga,6.5,"83,581","When aspiring musicians Lars and Sigrit are given the opportunity to represent their country at the world's biggest song competition, they finally have a chance to prove that any dream worth having is a dream worth fighting for.",David Dobkin
https://www.imdb.com/title/tt8372094/?ref_=adv_li_tt,Flashback,5.5,"3,027","After a chance encounter with a man forgotten from his youth, Fred literally and metaphorically journeys into his past.",Christopher MacBride
https://www.imdb.com/title/tt1502397/?ref_=adv_li_tt,Bad Boys for Life,6.6,"139,487",Miami detectives Mike Lowrey and Marcus Burnett must face off against a mother-and-son pair of drug lords who wreak vengeful havoc on their city.,Adil El Arbi
https://www.imdb.com/title/tt7939766/?ref_=adv_li_tt,I'm Thinking of Ending Things,6.6,"70,696","Full of misgivings, a young woman travels with her new boyfriend to his parents' secluded farm. Upon arriving, she comes to question everything she thought she knew about him, and herself.",Charlie Kaufman
https://www.imdb.com/title/tt3794354/?ref_=adv_li_tt,Sonic the Hedgehog,6.5,"101,449","After discovering a small, blue, fast hedgehog, a small-town police officer must help him defeat an evil genius who wants to do experiments on him.",Jeff Fowler
https://www.imdb.com/title/tt8338762/?ref_=adv_li_tt,The Nest,6.3,"8,552",Life for an entrepreneur and his American family begins to take a twisted turn after moving into an English country manor.,Sean Durkin
https://www.imdb.com/title/tt8629748/?ref_=adv_li_tt,Spenser Confidential,6.2,"76,746","When two Boston police officers are murdered, ex-cop Spenser teams up with his no-nonsense roommate, Hawk, to take down criminals.",Peter Berg
https://www.imdb.com/title/tt11024272/?ref_=adv_li_tt,The Babysitter: Killer Queen,5.8,"30,491","Two years after Cole survived a satanic blood cult, he's living another nightmare: high school. And the demons from his past? Still making his life hell.",McG
https://www.imdb.com/title/tt8784956/?ref_=adv_li_tt,Ava,5.4,"46,573","Ava is a deadly assassin who works for a black ops organization, traveling the globe specializing in high profile hits. When a job goes dangerously wrong she is forced to fight for her own survival.",Tate Taylor
https://www.imdb.com/title/tt9264728/?ref_=adv_li_tt,What Lies Below,4.3,"5,006","A 16 year-old girl returns home from camp and learns that her mother has a new boyfriend, one she intends to marry. A man whose charm, intelligence and beauty make him look like he's not human at all.",Braden R. Duemmler
https://www.imdb.com/title/tt6772802/?ref_=adv_li_tt,Hillbilly Elegy,6.7,"36,648","An urgent phone call pulls a Yale Law student back to his Ohio hometown, where he reflects on three generations of family history and his own future.",Ron Howard
https://www.imdb.com/title/tt1634106/?ref_=adv_li_tt,Bloodshot,5.7,"65,946","Ray Garrison, a slain soldier, is re-animated with superpowers.",Dave Wilson
https://www.imdb.com/title/tt12060154/?ref_=adv_li_tt,Medusa,3.7,222,After being bitten by a snake a young lady's life begins to take a sharp turn for the worst as a deadly virus plagues her body.,Matthew B.C.
https://www.imdb.com/title/tt2235695/?ref_=adv_li_tt,Rebecca,6.0,"35,264","A young newlywed arrives at her husband's imposing family estate on a windswept English coast and finds herself battling the shadow of his first wife, Rebecca, whose legacy lives on in the house long after her death.",Ben Wheatley
https://www.imdb.com/title/tt11161474/?ref_=adv_li_tt,Pieces of a Woman,7.1,"41,136","When a young mother's home birth ends in unfathomable tragedy, she begins a year-long odyssey of mourning that fractures relationships with loved ones in this deeply personal story of a woman learning to live alongside her loss.",Kornél Mundruczó
