link,Code,Sale_rent,Price,Total_area,Floor,Rooms,Date
https://akcern.am/en/property/10180,Code - 259196,For sale Apartment in Yerevan,"230,000 USD",'Total area 75 m 2','Floor 2','Count of rooms 2',25.01.2021
https://akcern.am/en/property/15585,Code - 20331,For rent Apartment in Yerevan,400 USD,'Total area 69 m 2','Floor 7','Count of rooms 2',25.01.2021
https://akcern.am/en/property/16140,Code - 30446,For rent Apartment in Yerevan,"2,000 USD",'Total area 160 m 2','Floor 15','Count of rooms 3',23.01.2021
https://akcern.am/en/property/9335,Code - 33159,For sale Apartment in Yerevan,"65,000 USD",'Total area 77 m 2','Floor 5','Count of rooms 3',23.01.2021
https://akcern.am/en/property/8955,Code - 11061,For sale Apartment in Yerevan,"77,000 USD",'Total area 64 m 2','Floor 9','Count of rooms 1',23.01.2021
https://akcern.am/en/property/8610,Code - 22114,For sale Apartment in Yerevan,"71,500 USD",'Total area 66 m 2','Floor 3','Count of rooms 2',23.01.2021
https://akcern.am/en/property/8596,Code - 22113,For sale Apartment in Yerevan,"77,000 USD",'Total area 64 m 2','Floor 1','Count of rooms 2',23.01.2021
https://akcern.am/en/property/8446,Code - 22110,For sale Apartment in Yerevan,"150,000 USD",'Total area 79 m 2','Floor ','Count of rooms 2',23.01.2021
https://akcern.am/en/property/9532,Code - 458495,For sale Apartment in Yerevan,"65,000 USD",'Total area 92 m 2','Floor 7','Count of rooms 4',23.01.2021
https://akcern.am/en/property/10208,Code - 159242,For sale Apartment in Yerevan,"98,500 USD",'Total area 41 m 2','Floor 2','Count of rooms 1',23.01.2021
https://akcern.am/en/property/10203,Code - 259231,For sale Apartment in Yerevan,"130,000 USD",'Total area 59 m 2','Floor 4','Count of rooms 2',22.01.2021
https://akcern.am/en/property/10202,Code - 459230,For sale Apartment in Yerevan,"145,000 USD",'Total area 123 m 2','Floor 8','Count of rooms 4',22.01.2021
https://akcern.am/en/property/10199,Code - 859225,For sale Apartment in Yerevan,"120,000 USD",'Total area 117 m 2','Floor ','Count of rooms 3',22.01.2021
https://akcern.am/en/property/16789,Code - 30568,For rent Apartment in Yerevan,280 USD,'Total area 75 m 2','Floor 4','Count of rooms 3',21.01.2021
https://akcern.am/en/property/13499,Code - 40124,For rent Apartment in Yerevan,600 USD,'Total area 110 m 2','Floor 2','Count of rooms 4',21.01.2021
https://akcern.am/en/property/8305,Code - 22103,For sale Apartment in Yerevan,"87,000 USD",'Total area 68 m 2','Floor 2','Count of rooms 2',21.01.2021
https://akcern.am/en/property/13358,Code - 40140,For rent Apartment in Yerevan,800 USD,'Total area 147 m 2','Floor 2','Count of rooms 4',21.01.2021
https://akcern.am/en/property/7419,Code - 40583,For sale Apartment in Yerevan,"155,000 USD",'Total area 123 m 2','Floor 8','Count of rooms 4',21.01.2021
https://akcern.am/en/property/8487,Code - 40595,For sale Apartment in Yerevan,"276,000 USD",'Total area 221 m 2','Floor 16','Count of rooms 4',20.01.2021
https://akcern.am/en/property/2040,Code - 80047,For rent Apartment in Yerevan,"3,500 USD",'Total area 285 m 2','Floor 12','Count of rooms 4',20.01.2021
https://akcern.am/en/property/9747,Code - 358777,For sale Apartment in Yerevan,"60,000 USD",'Total area 74 m 2','Floor 7','Count of rooms 3',20.01.2021
https://akcern.am/en/property/16285,Code - 20491,For rent Apartment in Yerevan,700 USD,'Total area 67 m 2','Floor 6','Count of rooms 2',20.01.2021
https://akcern.am/en/property/9615,Code - 358601,For rent Apartment in Yerevan,700 USD,'Total area 100 m 2','Floor 4','Count of rooms 3',20.01.2021
https://akcern.am/en/property/10023,Code - 459203,For sale Apartment in Yerevan,"114,000 USD",'Total area 120 m 2','Floor 14','Count of rooms 4',20.01.2021
https://akcern.am/en/property/10185,Code - 859202,For sale Apartment in Yerevan,"120,000 USD",'Total area 129 m 2','Floor 2','Count of rooms 4',20.01.2021
https://akcern.am/en/property/10184,Code - 359201,For sale Apartment in Yerevan,"67,000 USD",'Total area 75 m 2','Floor 5','Count of rooms 3',20.01.2021
